vat_id,source_url,source_file
FI10292588,https://www.vttresearch.com/en/news-and-ideas/finlands-old-nuclear-research-reactor-be-decommissioned-new-centre-nuclear-safety,df_relationships_vtt_domain.csv
FI08932048,https://www.vttresearch.com/en/news-and-ideas/aiming-top-speeds-both-100-metre-dash-and-ultramarathon,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/using-big-data-sustainable-agriculture-forestry-and-fishery,df_relationships_vtt_domain.csv
FI27256903,https://www.vttresearch.com/en/news-and-ideas/alternatives-toxic-phenol-compounds-used-glues-are-being-developed-softwood-tannins,df_relationships_vtt_domain.csv
FI16801400,https://www.vttresearch.com/en/news-and-ideas/logistics-challenging-circular-economy,df_relationships_vtt_domain.csv
FI08932048,https://www.vttresearch.com/en/news-and-ideas/smart-rollator-motivates-elderly-exercise-more,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/ellen-macarthur-foundation-awards-vtt-bio-based-packaging-solution-reduces-use,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/vtt-and-dyadic-international-presenting-excellent-results-reached-development-new,df_relationships_vtt_domain.csv
FI10957543,https://www.vttresearch.com/en/news-and-ideas/vtt-and-dyadic-international-presenting-excellent-results-reached-development-new,df_relationships_vtt_domain.csv
FI07634030,https://www.vttresearch.com/en/news-and-ideas/scientists-upgrading-production-cellulose-based-electrical-insulation-components,df_relationships_vtt_domain.csv
FI23810268,https://www.vttresearch.com/en/news-and-ideas/vtt-enters-cooperation-hitachi,df_relationships_vtt_domain.csv
FI01162976,https://www.vttresearch.com/en/news-and-ideas/new-food-and-eating-solutions-bring-vitality-consumers,df_relationships_vtt_domain.csv
FI07570954,https://www.vttresearch.com/en/news-and-ideas/printocent-10-commercialization-project-health-and-wellbeing-rapid-tests,df_relationships_vtt_domain.csv
FI18268881,https://www.vttresearch.com/en/news-and-ideas/visually-appealing-solar-modules-architectural-elements-building-facades,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/minister-energy-would-expand-emissions-trading,df_relationships_vtt_domain.csv
FI26776296,https://www.vttresearch.com/en/news-and-ideas/new-wood-based-materials-help-reduce-plastic-waste,df_relationships_vtt_domain.csv
FI01538267,https://www.vttresearch.com/en/news-and-ideas/new-marine-technology-arctic-conditions-greater-durability-and-lifespan,df_relationships_vtt_domain.csv
FI01541626,https://www.vttresearch.com/en/news-and-ideas/new-marine-technology-arctic-conditions-greater-durability-and-lifespan,df_relationships_vtt_domain.csv
FI26798815,https://www.vttresearch.com/en/news-and-ideas/5g-network-improve-road-safety,df_relationships_vtt_domain.csv
FI32443519,https://www.vttresearch.com/en/news-and-ideas/anti-theft-sticker-protects-your-valuables-without-revealing-their-location,df_relationships_vtt_domain.csv
FI08974643,https://www.vttresearch.com/en/news-and-ideas/matti-apunen-core-solution,df_relationships_vtt_domain.csv
FI18686020,https://www.vttresearch.com/en/news-and-ideas/leo-brings-intelligence-cylinders,df_relationships_vtt_domain.csv
FI23810268,https://www.vttresearch.com/en/news-and-ideas/turning-silicon-photonics-new-competitive-asset-electronics-industry,df_relationships_vtt_domain.csv
FI26300191,https://www.vttresearch.com/en/news-and-ideas/use-smart-solutions-dairy-farms-improves-quality-and-productivity,df_relationships_vtt_domain.csv
FI08932048,https://www.vttresearch.com/en/news-and-ideas/digitalisation-accelerates-circular-economy,df_relationships_vtt_domain.csv
FI23354450,https://www.vttresearch.com/en/news-and-ideas/5g-technology-brings-3d-views-inter-vehicle-communication-traffic-accident-rates-can,df_relationships_vtt_domain.csv
FI21630263,https://www.vttresearch.com/en/news-and-ideas/5g-technology-brings-3d-views-inter-vehicle-communication-traffic-accident-rates-can,df_relationships_vtt_domain.csv
FI24979778,https://www.vttresearch.com/en/news-and-ideas/europe-aims-become-world-class-commercialiser-fuel-cell-technology,df_relationships_vtt_domain.csv
FI19274001,https://www.vttresearch.com/en/news-and-ideas/controlling-friction-and-greenhouse-emissions-digitalising-materials,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/plasma-treatment-spurs-material-development,df_relationships_vtt_domain.csv
FI22895941,https://www.vttresearch.com/en/news-and-ideas/finnish-fuel-cell-technology-aims-world,df_relationships_vtt_domain.csv
FI17046945,https://www.vttresearch.com/en/news-and-ideas/augmented-reality-urban-data-and-related-opportunities,df_relationships_vtt_domain.csv
FI26776296,https://www.vttresearch.com/en/news-and-ideas/abc-plastics-circular-economy-plastic-evolving-material,df_relationships_vtt_domain.csv
FI07634030,https://www.vttresearch.com/en/news-and-ideas/why-it-not-feasible-charge-electric-car-home-15-seconds,df_relationships_vtt_domain.csv
FI05925096,https://www.vttresearch.com/en/news-and-ideas/powerful-tools-vtt-solve-challenges-bio-and-circular-economy,df_relationships_vtt_domain.csv
FI01098628,https://www.vttresearch.com/en/news-and-ideas/why-it-not-feasible-charge-electric-car-home-15-seconds,df_relationships_vtt_domain.csv
FI26532996,https://www.vttresearch.com/en/news-and-ideas/new-biomaterials-can-solve-challenges-sustainable-development,df_relationships_vtt_domain.csv
FI08974643,https://www.vttresearch.com/en/news-and-ideas/will-machines-take-our-work-part-3-people-models-machines,df_relationships_vtt_domain.csv
FI02011248,https://www.vttresearch.com/en/news-and-ideas/vtt-and-st1-pilot-future-bioeconomy-climate-friendly-hydrocarbons-industrial-carbon,df_relationships_vtt_domain.csv
FI17999260,https://www.vttresearch.com/en/news-and-ideas/new-wood-based-materials-prevent-spread-microorganisms-hospitals,df_relationships_vtt_domain.csv
FI01482419,https://www.vttresearch.com/fi/uutiset-ja-tarinat/vtt-ja-st1-pilotoivat-bio-ja-kiertotaloutta-ilmastoystavallisia-hiilivetyja,df_relationships_vtt_domain.csv
FI27256903,https://www.vttresearch.com/en/news-and-ideas/stretchable-electronics-boost-finnish-export-industry,df_relationships_vtt_domain.csv
FI08932048,https://www.vttresearch.com/en/news-and-ideas/technology-enables-good-urban-living,df_relationships_vtt_domain.csv
FI09342090,https://www.vttresearch.com/en/news-and-ideas/reboot-iot-factory-reforms-industry-digital-solutions-aiming-impact-eur-1-billion,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/how-was-your-day-work-today,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/raas-research-alliance-drive-innovation-automation-transport-and-logistics,df_relationships_vtt_domain.csv
FI27668609,https://www.vttresearch.com/en/news-and-ideas/fibre-technologies-revolutionising-textile-industry-win-european-commissions,df_relationships_vtt_domain.csv
FI24889705,https://www.vttresearch.com/en/news-and-ideas/finnish-5g-technology-enables-efficient-mobile-streaming-large-audiences,df_relationships_vtt_domain.csv
FI01111693,https://www.vttresearch.com/en/news-and-ideas/people-come-all-shapes-and-sizes-so-should-clothes,df_relationships_vtt_domain.csv
FI26532996,https://www.vttresearch.com/en/news-and-ideas/vtt-launches-incubator-accelerate-industrial-renewal,df_relationships_vtt_domain.csv
FI24952065,https://www.vttresearch.com/en/news-and-ideas/support-mobile-broadcast-streaming-service-part-5g-test-network-oulu,df_relationships_vtt_domain.csv
FI20125396,https://www.vttresearch.com/en/news-and-ideas/vtt-and-carbodeon-speed-3d-printing-nanodiamonds,df_relationships_vtt_domain.csv
FI17959269,https://www.vttresearch.com/en/news-and-ideas/finnish-pilot-develops-new-solution-sustainable-forestry,df_relationships_vtt_domain.csv
FI02454911,https://www.vttresearch.com/fi/uutiset-ja-tarinat/poytalaatikossasi-lojuva-elektroniikkaromu-toiselle-aarre,df_relationships_vtt_domain.csv
